from_id,to_id
mn0000276917,mn0000784527
mn0000276917,mn0000302799
mn0000276917,mn0000396372
mn0000387352,mn0000066915
mn0000387352,mn0000211392
mn0000387352,mn0000816890
mn0000387352,mn0000286662
mn0000387352,mn0000245039
mn0000188843,mn0000587708
mn0000188843,mn0000183890
mn0000103600,mn0000792574
mn0000103600,mn0000148978
mn0000103600,mn0000280434
mn0000103600,mn0000345426
mn0000753237,mn0000214162
mn0000533644,mn0000818050
mn0000533644,mn0000519428
mn0000096613,mn0000121357
mn0000096613,mn0000849333
mn0000490549,mn0000664378
mn0000201760,mn0000767741
mn0000201760,mn0000798326
mn0000201760,mn0000957296
mn0000201760,mn0000234374
mn0000201760,mn0000332536
mn0000100854,mn0000848952
mn0000247004,mn0000170027
mn0000107294,mn0000156010
mn0000107294,mn0000303125
mn0000164817,mn0000625526
mn0000214546,mn0000585092
mn0000214546,mn0000104388
mn0000793623,mn0000074397
mn0000793623,mn0000197364
mn0000793623,mn0000239329
mn0000227465,mn0000753104
mn0000227465,mn0000077555
mn0000227465,mn0000097182
mn0000227465,mn0000183699
mn0000227465,mn0000988471
mn0000518937,mn0000314923
mn0000518937,mn0000336222
mn0000896225,mn0000793506
mn0000007305,mn0000390239
mn0000007305,mn0000842802
mn0000007305,mn0000332725
mn0000818595,mn0000294923
mn0000242966,mn0000193802
mn0000060122,mn0000046626
mn0000060122,mn0000327130
mn0000060122,mn0000189414
mn0000060122,mn0000286662
mn0000278515,mn0000930651
mn0000844950,mn0000829643
mn0000248452,mn0000212129
mn0000248452,mn0000201760
mn0000248452,mn0000091879
mn0000248452,mn0000244082
mn0000248452,mn0000686577
mn0000896965,mn0000785380
mn0000756291,mn0000814295
mn0000120241,mn0000489845
mn0000120241,mn0000741325
mn0000120241,mn0000798326
mn0000120241,mn0000423829
mn0000260361,mn0000780108
mn0000108331,mn0000583959
mn0000695019,mn0000742673
mn0000695019,mn0000890630
mn0000927555,mn0000047401
mn0000927555,mn0000378624
mn0000830063,mn0000714156
mn0000793607,mn0000833150
mn0000184814,mn0000190632
mn0000032771,mn0000371741
mn0000032771,mn0000781837
mn0000792574,mn0000505770
mn0000792574,mn0000489316
mn0000694273,mn0000424244
mn0000178889,mn0000190021
mn0000591806,mn0000251491
mn0000591806,mn0000296487
mn0000591806,mn0000206990
mn0000147249,mn0000100116
mn0000789292,mn0000118056
mn0000065882,mn0000234374
mn0000065882,mn0000017929
mn0000065882,mn0000332725
mn0000229068,mn0000186185
mn0000020971,mn0000608135
mn0000846488,mn0000103600
mn0000846488,mn0000335431
mn0000628269,mn0000222298
mn0000628269,mn0000042513
mn0000189414,mn0000060122
mn0000189414,mn0000858375
mn0000189414,mn0000286662
mn0000189414,mn0000749476
mn0000829889,mn0000075979
mn0000731975,mn0000031181
mn0000731975,mn0000602907
mn0000731975,mn0000740576
mn0000798965,mn0000604940
mn0000798965,mn0000184091
mn0000798965,mn0000808104
mn0000798965,mn0000808214
mn0000798965,mn0000394931
mn0000808613,mn0000792574
mn0000808613,mn0000103600
mn0000121318,mn0000074776
mn0000121318,mn0000300245
mn0000121318,mn0000036537
mn0000749671,mn0000806991
mn0000390469,mn0000327130
mn0000390469,mn0000307875
mn0000390469,mn0000286662
mn0000183699,mn0000753104
mn0000183699,mn0000077555
mn0000183699,mn0000227465
mn0000183699,mn0000380620
mn0000096142,mn0000869068
mn0000030629,mn0000803128
mn0000030629,mn0000625526
mn0000030629,mn0000293490
mn0000300659,mn0000773147
mn0000300659,mn0000220312
mn0000543867,mn0000159699
mn0000543867,mn0000307875
mn0000212129,mn0000678408
mn0000212129,mn0000341422
mn0000837150,mn0000487271
mn0000423829,mn0000396372
mn0000153956,mn0000673114
mn0000161891,mn0000290464
mn0000573327,mn0000575122
mn0000573327,mn0000186312
mn0000573327,mn0000146437
mn0000816387,mn0000664378
mn0000816387,mn0000849333
mn0000816387,mn0000882956
mn0000816387,mn0000583959
mn0000389213,mn0000070641
mn0000945196,mn0000325353
mn0000945196,mn0000359016
mn0000598083,mn0000239329
mn0000598083,mn0000795529
mn0000598083,mn0000588183
mn0000817315,mn0000301404
mn0000010276,mn0000283971
mn0000343416,mn0000640419
mn0000343416,mn0000791483
mn0000808198,mn0000489845
mn0000808198,mn0000490416
mn0000092503,mn0000097009
mn0000202644,mn0000327130
mn0000080970,mn0000176936
mn0000080970,mn0000116159
mn0000080970,mn0000894956
mn0000080970,mn0000959770
mn0000126415,mn0000896965
mn0000673577,mn0000075979
mn0000673577,mn0000239329
mn0000940884,mn0000179764
mn0000940884,mn0000336222
mn0000081832,mn0000042513
mn0000924764,mn0000935443
mn0000102462,mn0000215928
mn0000818058,mn0000421122
mn0000074936,mn0000202187
mn0000074936,mn0000785380
mn0000927413,mn0000023566
mn0000670057,mn0000348105
mn0000670057,mn0000597309
mn0000268634,mn0000016901
mn0000234325,mn0000583959
mn0000392421,mn0000942529
mn0000287350,mn0000828897
mn0000052062,mn0000146437
mn0000767068,mn0000078802
mn0000767068,mn0000470588
mn0000814295,mn0000927555
mn0000814295,mn0000314050
mn0000346102,mn0000809396
mn0000129457,mn0000070507
mn0000129457,mn0000248392
mn0000679314,mn0000083094
mn0000639397,mn0000191699
mn0000639397,mn0000497132
mn0000108774,mn0000261866
mn0000031263,mn0000587708
mn0000031263,mn0000467203
mn0000679398,mn0000053739
mn0000645474,mn0000680065
mn0000191429,mn0000256709
mn0000134600,mn0000402249
mn0000796700,mn0000017748
mn0000818559,mn0000259270
mn0000818559,mn0000094252
mn0000003829,mn0000137137
mn0000771079,mn0000036537
mn0000021810,mn0000798514
mn0000021810,mn0000041187
mn0000021810,mn0000046469
mn0002028948,mn0000266002
mn0000080370,mn0000753104
mn0000080370,mn0000183699
mn0000080370,mn0000380620
mn0000113753,mn0000376204
mn0000113753,mn0000373634
mn0000960574,mn0000767471
mn0000960574,mn0000241618
mn0000246885,mn0000869487
mn0000936983,mn0000265440
mn0000339160,mn0000814852
mn0000141256,mn0000801762
mn0000142860,mn0000152490
mn0000597094,mn0000467853
mn0000530745,mn0000747507
mn0000119651,mn0000849333
mn0000119651,mn0000816387
mn0000223587,mn0000238375
mn0000400158,mn0000926376
mn0000400158,mn0000178852
mn0000959770,mn0000769616
mn0000959770,mn0000780056
mn0000569185,mn0000801762
mn0000569185,mn0000666285
mn0000727434,mn0000188634
mn0000204901,mn0001456835
mn0000204901,mn0000290464
mn0000046694,mn0000146437
mn0000760148,mn0001371793
mn0000760148,mn0000188279
mn0000988457,mn0000768584
mn0000988457,mn0000774588
mn0000988457,mn0000208997
mn0000988457,mn0000020869
mn0000482763,mn0000226228
mn0000482763,mn0000183858
mn0000482763,mn0000346370
mn0000192260,mn0000587708
mn0000192260,mn0000102399
mn0000192260,mn0000575199
mn0000088497,mn0000127044
mn0000088497,mn0000354769
mn0000088497,mn0000287604
mn0000030658,mn0000075979
mn0000068934,mn0000927555
mn0000062378,mn0000238440
mn0000354140,mn0000366164
mn0000183635,mn0000126497
mn0000276910,mn0000127889
mn0000276910,mn0000201667
mn0000107259,mn0000075979
mn0000107259,mn0000419197
mn0000107259,mn0000756180
mn0000256709,mn0000942529
mn0000256709,mn0000780056
mn0000256709,mn0000191429
mn0000256709,mn0000894956
mn0000256709,mn0000959770
mn0000124390,mn0000828153
mn0000124390,mn0000039661
mn0000744075,mn0000082482
mn0000744075,mn0000790604
mn0000396372,mn0000928942
mn0000396372,mn0000640675
mn0000396372,mn0000423829
mn0000396372,mn0000039656
mn0000095227,mn0000585674
mn0000575199,mn0000204591
mn0000575199,mn0000102399
mn0000797327,mn0000461998
mn0000928942,mn0000423829
mn0000928942,mn0000039656
mn0000405113,mn0000661172
mn0000405113,mn0000030664
mn0000490416,mn0000175553
mn0000490416,mn0000396372
mn0000490416,mn0000423829
mn0000490416,mn0000039656
mn0000084962,mn0000317001
mn0000084962,mn0000397880
mn0000643549,mn0000479028
mn0000643549,mn0000688804
mn0000097009,mn0000287929
mn0000097009,mn0000092503
mn0000097009,mn0000939595
mn0000281631,mn0000564540
mn0000137474,mn0000169201
mn0000159699,mn0000327130
mn0000159699,mn0000214162
mn0000573870,mn0000325459
mn0000564740,mn0000928548
mn0000564740,mn0000822874
mn0000801101,mn0000085415
mn0000801101,mn0000780108
mn0000337119,mn0000617196
mn0000337119,mn0000675092
mn0000337119,mn0000238440
mn0000750203,mn0000162677
mn0000750203,mn0000302799
mn0000019241,mn0000214162
mn0000029884,mn0000228266
mn0000029884,mn0000849333
mn0000332641,mn0000359016
mn0000314166,mn0000174557
mn0000500454,mn0000812290
mn0000500454,mn0000798477
mn0000367979,mn0000682403
mn0000367979,mn0000236287
mn0000367979,mn0000885190
mn0000367979,mn0000359016
mn0000782191,mn0000940590
mn0000199677,mn0000505154
mn0000199677,mn0000160198
mn0000199677,mn0000951384
mn0000199677,mn0000267354
mn0000199677,mn0000127949
mn0000199677,mn0000068780
mn0000199677,mn0000519715
mn0000126727,mn0000113203
mn0000126727,mn0000263103
mn0000169819,mn0000566054
mn0000169819,mn0000355052
mn0000021744,mn0000808104
mn0000021744,mn0000270491
mn0000300458,mn0000585180
mn0000020760,mn0000214162
mn0000680065,mn0000296487
mn0000064915,mn0000047401
mn0000064915,mn0000090389
mn0000064915,mn0000200322
mn0000064915,mn0000090803
mn0000093322,mn0000533644
mn0000093322,mn0000519428
mn0000327130,mn0000320761
mn0000327130,mn0000130855
mn0000080581,mn0000201760
mn0000461816,mn0000211483
mn0000461816,mn0000796166
mn0000461816,mn0000152312
mn0000332832,mn0000927009
mn0000332832,mn0000416203
mn0000332832,mn0000588887
mn0000332832,mn0000013315
mn0000808104,mn0000166785
mn0000962339,mn0000187478
mn0000962339,mn0000153590
mn0000962339,mn0000354105
mn0000962339,mn0000208997
mn0000045077,mn0000174122
mn0000045077,mn0000359966
mn0000186401,mn0000207168
mn0000526637,mn0000596996
mn0000790604,mn0000334030
mn0000014651,mn0000801762
mn0000014651,mn0000666285
mn0000211483,mn0000070507
mn0000211483,mn0000796166
mn0000211483,mn0000066570
mn0000117844,mn0000583959
mn0000050610,mn0000829236
mn0000686661,mn0000031181
mn0000187374,mn0000652255
mn0000187374,mn0000248380
mn0000187374,mn0000497132
mn0000785773,mn0000793623
mn0001653963,mn0000350127
mn0000296487,mn0000206990
mn0000271519,mn0000071514
mn0000271519,mn0000798026
mn0000271519,mn0000202187
mn0000271519,mn0000128585
mn0000271519,mn0000307305
mn0000271519,mn0000519428
mn0000197460,mn0000156900
mn0000793210,mn0000543055
mn0000793210,mn0000334030
mn0000075979,mn0000239329
mn0000075979,mn0000059503
mn0000075979,mn0000405417
mn0000075979,mn0000841430
mn0000075979,mn0000121584
mn0000075979,mn0000952345
mn0000075979,mn0000751592
mn0000671800,mn0000089675
mn0000671800,mn0000259529
mn0000545074,mn0000254964
mn0000545074,mn0000314050
mn0000927009,mn0000798169
mn0000927009,mn0000332832
mn0000595585,mn0000520977
mn0000254083,mn0000939187
mn0000127949,mn0000505154
mn0000127949,mn0000199677
mn0000127949,mn0000226380
mn0000584923,mn0000082661
mn0000288469,mn0000894730
mn0000396676,mn0000327130
mn0000987491,mn0000816387
mn0000134191,mn0000028166
mn0000097115,mn0000809948
mn0000784070,mn0000136640
mn0000052094,mn0000929573
mn0000113409,mn0000945790
mn0000246022,mn0000947816
mn0000278439,mn0000537548
mn0000278439,mn0000224257
mn0000278439,mn0000088035
mn0000278439,mn0000376204
mn0000278439,mn0000221722
mn0000234374,mn0000065882
mn0000234374,mn0000798326
mn0000234374,mn0000201760
mn0000540139,mn0000822874
mn0000470588,mn0000078802
mn0000470588,mn0000066915
mn0000470588,mn0000238495
mn0000776301,mn0000079016
mn0000776301,mn0000094210
mn0000266462,mn0000189229
mn0000247997,mn0000519428
mn0000564540,mn0000281631
mn0000815039,mn0000211627
mn0000815039,mn0000774909
mn0000815039,mn0000307461
mn0000211570,mn0000765494
mn0000211570,mn0000233228
mn0000178852,mn0000802875
mn0000178852,mn0000400158
mn0000178852,mn0000744328
mn0000231610,mn0000058386
mn0000231610,mn0000461998
mn0000014724,mn0000096613
mn0000014724,mn0000183699
mn0000014724,mn0000187478
mn0000014724,mn0000080370
mn0000014724,mn0000380620
mn0000359359,mn0000182040
mn0000803589,mn0000163133
mn0000803589,mn0000577301
mn0000803589,mn0000526407
mn0000026904,mn0000537326
mn0000026904,mn0000863963
mn0000585674,mn0000095227
mn0000027916,mn0000758208
mn0000751687,mn0000010458
mn0000751687,mn0000029791
mn0000484396,mn0000070507
mn0000602907,mn0000030250
mn0000602907,mn0000093521
mn0000602907,mn0000760782
mn0000602907,mn0000659071
mn0000602907,mn0000851639
mn0000832124,mn0000635760
mn0000832124,mn0000740861
mn0000836313,mn0000160848
mn0000836313,mn0000418130
mn0000185412,mn0000763506
mn0001199400,mn0000318966
mn0000118493,mn0000781837
mn0000118493,mn0000931086
mn0000118493,mn0000176298
mn0000197364,mn0000793623
mn0000197364,mn0000059503
mn0000197364,mn0000238440
mn0000197364,mn0000932858
mn0000776562,mn0000031274
mn0000458423,mn0000536122
mn0000458423,mn0000622805
mn0000345168,mn0000047401
mn0000345168,mn0000678408
mn0000345168,mn0000692089
mn0000322079,mn0000601079
mn0000585092,mn0000957296
mn0000585092,mn0000104388
mn0002119207,mn0000169568
mn0000075582,mn0000786808
mn0000315677,mn0000792507
mn0000315677,mn0000315336
mn0000315677,mn0000204901
mn0000951384,mn0000199677
mn0000951384,mn0000267354
mn0000537548,mn0000224257
mn0000577301,mn0000163133
mn0000577301,mn0000079016
mn0000577301,mn0000256349
mn0000612716,mn0000209142
mn0000199728,mn0000509524
mn0000199728,mn0000942529
mn0000199728,mn0000815039
mn0000199728,mn0000767068
mn0000199728,mn0000780056
mn0000199728,mn0000959770
mn0000021334,mn0000536122
mn0000251491,mn0000786126
mn0000251491,mn0000206990
mn0000251491,mn0000042513
mn0000044331,mn0000239382
mn0000268700,mn0000942529
mn0000235121,mn0000962339
mn0000235121,mn0000816387
mn0000235121,mn0000208997
mn0000081079,mn0000536122
mn0000099198,mn0000673360
mn0000330961,mn0000059503
mn0000330961,mn0000174838
mn0000199774,mn0000858375
mn0000588183,mn0000598083
mn0000834976,mn0000812290
mn0000834976,mn0000923432
mn0000834976,mn0000071514
mn0000411425,mn0000957296
mn0000411425,mn0000840760
mn0000150530,mn0000602907
mn0000754251,mn0000200794
mn0000111963,mn0000633078
mn0000111963,mn0000955544
mn0000755570,mn0000647670
mn0000755570,mn0000246885
mn0000755570,mn0000101795
mn0000755570,mn0000314050
mn0000565908,mn0000932323
mn0000565908,mn0000163133
mn0000565908,mn0000813561
mn0000565908,mn0000350127
mn0000349439,mn0000339789
mn0000349439,mn0000769616
mn0000349439,mn0000585820
mn0000009927,mn0000133377
mn0000830823,mn0000014263
mn0000830823,mn0000793623
mn0000830823,mn0000678408
mn0000090389,mn0000065882
mn0000774588,mn0000768584
mn0000774588,mn0000988457
mn0000774588,mn0000020869
mn0000753104,mn0000077555
mn0000753104,mn0000183699
mn0000753104,mn0000080370
mn0000753104,mn0000227465
mn0000790023,mn0000001020
mn0000790023,mn0000842611
mn0000536122,mn0000609992
mn0000081836,mn0000742442
mn0000310941,mn0000921895
mn0000074776,mn0000121318
mn0000074776,mn0000231213
mn0000074776,mn0000745628
mn0000074776,mn0000300245
mn0000074776,mn0000238440
mn0000074776,mn0000036537
mn0000074776,mn0000007305
mn0000887638,mn0000153590
mn0000887638,mn0001431398
mn0000390239,mn0000332725
mn0000794145,mn0000169202
mn0000200968,mn0000588508
mn0000200968,mn0000530996
mn0000200968,mn0000319945
mn0000024779,mn0000125479
mn0000024779,mn0000191989
mn0000344275,mn0000124767
mn0000286662,mn0000130855
mn0000339789,mn0000349439
mn0000339789,mn0000585820
mn0000239876,mn0000182360
mn0000087597,mn0000181914
mn0000651271,mn0000857062
mn0000159791,mn0000803162
mn0000159791,mn0000234374
mn0000159791,mn0000390239
mn0000159791,mn0000378624
mn0000225508,mn0000566054
mn0000082639,mn0000110541
mn0000211627,mn0000142226
mn0000211627,mn0000815039
mn0000606283,mn0000587708
mn0000606283,mn0000102399
mn0000508344,mn0000854686
mn0000066570,mn0000104388
mn0000620257,mn0000548020
mn0000813485,mn0000077698
mn0000115399,mn0000213266
mn0000003100,mn0000794244
mn0000776337,mn0000678408
mn0000776337,mn0000397042
mn0000178536,mn0000597309
mn0000242511,mn0000536122
mn0000136220,mn0000776363
mn0000815575,mn0000792507
mn0000902915,mn0000227352
mn0000840760,mn0000411425
mn0000671156,mn0000487271
mn0000625201,mn0000108124
mn0000790227,mn0000558339
mn0000790227,mn0000896298
mn0000998412,mn0000998428
mn0000089675,mn0000259529
mn0000959775,mn0000094252
mn0000959775,mn0000256349
mn0000406909,mn0000756318
mn0000271029,mn0000090803
mn0000251375,mn0000200775
mn0000251375,mn0000816890
mn0000251375,mn0000136640
mn0000251375,mn0000583959
mn0000176859,mn0000423829
mn0000176859,mn0000250435
mn0000176859,mn0000596922
mn0000044991,mn0000103600
mn0000044991,mn0000527846
mn0000044991,mn0000804586
mn0000044991,mn0000081181
mn0000044991,mn0000608135
mn0001005124,mn0000956232
mn0001005124,mn0000537548
mn0000768470,mn0000058360
mn0000768470,mn0000119629
mn0002450394,mn0000786245
mn0002450394,mn0000481915
mn0002450394,mn0000397880
mn0000069298,mn0000102399
mn0000761478,mn0000837592
mn0000761478,mn0000124784
mn0000761478,mn0000742899
mn0000955027,mn0000118261
mn0000347639,mn0000210142
mn0000380149,mn0000175196
mn0000380149,mn0000757070
mn0000191006,mn0000187478
mn0000191006,mn0000849333
mn0000191006,mn0000217792
mn0000742442,mn0000081836
mn0000939187,mn0000812290
mn0000365389,mn0000319347
mn0000489845,mn0000423829
mn0000188634,mn0000727434
mn0000784713,mn0000181479
mn0000102985,mn0000146437
mn0000102985,mn0000583959
mn0000261866,mn0000108774
mn0000261866,mn0000159699
mn0000107139,mn0000059503
mn0000107139,mn0000075979
mn0000107139,mn0000145269
mn0000107139,mn0000185155
mn0000188342,mn0000051380
mn0000836958,mn0000424580
mn0000787869,mn0000582253
mn0000220312,mn0000300659
mn0000220312,mn0000197424
mn0000127696,mn0000647670
mn0000127696,mn0000673114
mn0000255210,mn0000808613
mn0000606098,mn0000857589
mn0000744265,mn0000597309
mn0000744265,mn0000200791
mn0000106882,mn0000255494
mn0000199849,mn0000059503
mn0000199849,mn0000075979
mn0000199849,mn0000957296
mn0000230590,mn0000813175
mn0000812144,mn0000772976
mn0000812144,mn0000751738
mn0000515701,mn0000210974
mn0000043765,mn0000118056
mn0000411171,mn0000638498
mn0000487535,mn0000800100
mn0000487535,mn0000768027
mn0000306296,mn0000154957
mn0000306296,mn0000227487
mn0000306296,mn0000307875
mn0000306296,mn0000299666
mn0000086774,mn0000813019
mn0000296366,mn0000788362
mn0000625994,mn0000684920
mn0000085415,mn0000801101
mn0000085415,mn0000849333
mn0000085415,mn0000816387
mn0000085415,mn0000208997
mn0000185810,mn0000186927
mn0000953148,mn0000162677
mn0000781932,mn0000803162
mn0000781932,mn0000602907
mn0000781932,mn0000378624
mn0000069348,mn0000286483
mn0000760782,mn0000527469
mn0000760782,mn0000110033
mn0000760782,mn0000602907
mn0000760782,mn0000579458
mn0000760782,mn0000763650
mn0000760782,mn0000925983
mn0000760782,mn0000851639
mn0000625736,mn0000664378
mn0000625736,mn0000853163
mn0000259529,mn0000079016
mn0000293969,mn0000996075
mn0000293969,mn0001953486
mn0000241618,mn0000767471
mn0000241618,mn0000960574
mn0000352524,mn0000171957
mn0000521564,mn0000674332
mn0000521564,mn0000355052
mn0000117836,mn0000059503
mn0000117836,mn0000318872
mn0000117836,mn0000050770
mn0000747507,mn0000314050
mn0000046784,mn0000959770
mn0000046784,mn0000191429
mn0000572508,mn0000124248
mn0000572508,mn0000773884
mn0000161947,mn0000505154
mn0000950334,mn0000211483
mn0000951443,mn0000661524
mn0000951443,mn0000660507
mn0000402124,mn0000146437
mn0000183890,mn0000587708
mn0000183890,mn0000204591
mn0000829236,mn0000050610
mn0000157908,mn0000577531
mn0000070942,mn0000609992
mn0000070942,mn0000110541
mn0000070942,mn0000738182
mn0000070942,mn0000809334
mn0000070942,mn0000246487
mn0000070942,mn0000745316
mn0000101795,mn0000587708
mn0000101795,mn0000102399
mn0000101795,mn0000673114
mn0001013505,mn0000166105
mn0000689880,mn0000602907
mn0000689880,mn0000263103
mn0000666406,mn0000071514
mn0000666406,mn0000785380
mn0000666406,mn0000328014
mn0000307305,mn0000071514
mn0000307305,mn0000798026
mn0000307305,mn0000202187
mn0000307305,mn0000128585
mn0000307305,mn0000271519
mn0000307305,mn0000519428
mn0000212614,mn0000609992
mn0000212614,mn0000931086
mn0000212614,mn0000234374
mn0000821219,mn0000158801
mn0000081194,mn0000575199
mn0000163133,mn0000534880
mn0000163133,mn0000565908
mn0000369574,mn0000107259
mn0000034356,mn0000171015
mn0000801573,mn0000191006
mn0000801573,mn0000003056
mn0000275401,mn0000120323
mn0000275401,mn0000526407
mn0000288841,mn0000228027
mn0000578999,mn0000662797
mn0000578999,mn0000286677
mn0000578999,mn0000602378
mn0000254556,mn0000044874
mn0000575012,mn0000110104
mn0000575012,mn0000208076
mn0000575012,mn0000673114
mn0000666763,mn0000047401
mn0000666763,mn0000076658
mn0001561271,mn0000336222
mn0000792175,mn0000928942
mn0000792175,mn0000396372
mn0000765221,mn0000332725
mn0000659071,mn0000130028
mn0000659071,mn0000625526
mn0000659071,mn0000602907
mn0000659071,mn0000579458
mn0000659071,mn0000851639
mn0000659071,mn0000032776
mn0000257160,mn0000849333
mn0000773884,mn0000572508
mn0000254535,mn0000684920
mn0000254535,mn0000243527
mn0002508583,mn0002049035
mn0000003015,mn0000204591
mn0000003015,mn0000957296
mn0000003015,mn0000124784
mn0000003015,mn0000868092
mn0000003015,mn0000250435
mn0000938399,mn0000307351
mn0000013387,mn0000227487
